"time","TK_101.level","TK_102.level","PB_SHUT.combiTimeTable.y[1]","PB_START.combiTimeTable.y[1]","PB_STOP.combiTimeTable.y[1]","XV_101.flow_m3s","drainRequest_m3s","time_s","transferRequest_m3s","wait_remaining_s","controller_state_id","PB_SHUT.y","PB_START.y","PB_STOP.y","valve1_cmd","valve2_cmd","valve3_cmd","PB_SHUT.realToBoolean.u","PB_START.realToBoolean.u","PB_STOP.realToBoolean.u","PLC_101.LT101_level_m","PLC_101.LT102_level_m","PLC_101.wait_remaining_s","TK_101.inflow_m3s","TK_101.level_m","TK_101.outflowRequest_m3s","TK_102.inflow_m3s","TK_102.level_m","TK_102.outflowRequest_m3s","XV_102.flow_m3s","XV_103.flow_m3s","tank1_level_m","tank2_level_m","PLC_101.controller_state_id","PB_SHUT.realToBoolean.y","PB_START.realToBoolean.y","PB_STOP.realToBoolean.y","PLC_101.shutButton","PLC_101.startButton","PLC_101.stopButton","PLC_101.valve1_cmd","PLC_101.valve2_cmd","PLC_101.valve3_cmd","XV_101.openCmd","XV_102.openCmd","XV_103.openCmd"
509.9000000000474,0.04999999989499464,142.8592853939099,0,0,0,0,0.005,509.9000000000474,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8592853939099,0,0,0.04999999989499464,0,0.04999999989499464,142.8592853939099,0.005,0,0.005,0.04999999989499464,142.8592853939099,5,0,0,0,0,0,0,0,0,1,0,0,1
510,0.04999999989499464,142.8624996796152,0,0,0,0,0.005,510,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8624996796152,0,0,0.04999999989499464,0,0.04999999989499464,142.8624996796152,0.005,0,0.005,0.04999999989499464,142.8624996796152,5,0,0,0,0,0,0,0,0,1,0,0,1
510.0000000000475,0.04999999989499464,142.8624996796167,0,0,0,0,0.005,510.0000000000475,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8624996796167,0,0,0.04999999989499464,0,0.04999999989499464,142.8624996796167,0.005,0,0.005,0.04999999989499464,142.8624996796167,5,0,0,0,0,0,0,0,0,1,0,0,1
510.0000000000475,0.04999999989499464,142.8624996796167,0,0,0,0,0.005,510.0000000000475,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8624996796167,0,0,0.04999999989499464,0,0.04999999989499464,142.8624996796167,0.005,0,0.005,0.04999999989499464,142.8624996796167,5,0,0,0,0,0,0,0,0,1,0,0,1
510.1,0.04999999989499464,142.865713965322,0,0,0,0,0.005,510.1,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.865713965322,0,0,0.04999999989499464,0,0.04999999989499464,142.865713965322,0.005,0,0.005,0.04999999989499464,142.865713965322,5,0,0,0,0,0,0,0,0,1,0,0,1
510.1000000000475,0.04999999989499464,142.8657139653235,0,0,0,0,0.005,510.1000000000475,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8657139653235,0,0,0.04999999989499464,0,0.04999999989499464,142.8657139653235,0.005,0,0.005,0.04999999989499464,142.8657139653235,5,0,0,0,0,0,0,0,0,1,0,0,1
510.1000000000475,0.04999999989499464,142.8657139653235,0,0,0,0,0.005,510.1000000000475,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8657139653235,0,0,0.04999999989499464,0,0.04999999989499464,142.8657139653235,0.005,0,0.005,0.04999999989499464,142.8657139653235,5,0,0,0,0,0,0,0,0,1,0,0,1
510.2,0.04999999989499464,142.8689282510287,0,0,0,0,0.005,510.2,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8689282510287,0,0,0.04999999989499464,0,0.04999999989499464,142.8689282510287,0.005,0,0.005,0.04999999989499464,142.8689282510287,5,0,0,0,0,0,0,0,0,1,0,0,1
510.2000000000475,0.04999999989499464,142.8689282510303,0,0,0,0,0.005,510.2000000000475,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8689282510303,0,0,0.04999999989499464,0,0.04999999989499464,142.8689282510303,0.005,0,0.005,0.04999999989499464,142.8689282510303,5,0,0,0,0,0,0,0,0,1,0,0,1
510.2000000000475,0.04999999989499464,142.8689282510303,0,0,0,0,0.005,510.2000000000475,0,0,5,0,0,0,0,0,1,0,0,0,0.04999999989499464,142.8689282510303,0,0,0.04999999989499464,0,0.04999999989499464,142.8689282510303,0.005,0,0.005,0.04999999989499464,142.8689282510303,5,0,0,0,0,0,0,0,0,1,0,0,1
