"time","tank1.level","tank2.level","der(tank1.level)","der(tank2.level)","PLC_101.waitElapsed","shutCmd.combiTimeTable.y[1]","startCmd.combiTimeTable.y[1]","stopCmd.combiTimeTable.y[1]","tank1.qOut","tank2.qOut","valve1.flowOut","valve1_open","valve2.flowOut","valve2_open","valve3.flowOut","valve3_open","PLC_101.remainingWait","PLC_101.tEnter","PLC_101.mode","PLC_101.resumeMode","controller_state","PLC_101.shutPulse","PLC_101.shutSample","PLC_101.startPulse","PLC_101.startSample","PLC_101.stopPulse","PLC_101.stopSample","PLC_101.valve1Cmd","PLC_101.valve2Cmd","PLC_101.valve3Cmd","shutCmd.y","startCmd.y","stopCmd.y","PLC_101.tank1Level","PLC_101.tank2Level","shutCmd.realToBoolean.u","startCmd.realToBoolean.u","stopCmd.realToBoolean.u","tank1.inflow","tank1.levelOut","tank1.outflowCmd","tank1_level_m","tank2.inflow","tank2.levelOut","tank2.outflowCmd","tank2_level_m","PLC_101.controller_state","PLC_101.shutButton","PLC_101.startButton","PLC_101.stopButton","shutCmd.realToBoolean.y","startCmd.realToBoolean.y","stopCmd.realToBoolean.y","valve1.openCmd","valve2.openCmd","valve3.openCmd"
452.4000000000344,0.04999999989497447,0.6842857149465957,0,-0.003571428571428572,12.39999988536817,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6842857149465957,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6842857149465957,0.005,0.6842857149465957,6,0,0,0,0,0,0,0,0,1
452.5000000000344,0.04999999989497447,0.6839285720894528,0,-0.003571428571428572,12.4999998853682,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6839285720894528,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6839285720894528,0.005,0.6839285720894528,6,0,0,0,0,0,0,0,0,1
452.5000000000344,0.04999999989497447,0.6839285720894528,0,-0.003571428571428572,12.4999998853682,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6839285720894528,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6839285720894528,0.005,0.6839285720894528,6,0,0,0,0,0,0,0,0,1
452.6000000000344,0.04999999989497447,0.6835714292323098,0,-0.003571428571428572,12.59999988536822,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6835714292323098,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6835714292323098,0.005,0.6835714292323098,6,0,0,0,0,0,0,0,0,1
452.6000000000344,0.04999999989497447,0.6835714292323098,0,-0.003571428571428572,12.59999988536822,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6835714292323098,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6835714292323098,0.005,0.6835714292323098,6,0,0,0,0,0,0,0,0,1
452.7,0.04999999989497447,0.6832142863752901,0,-0.003571428571428572,12.6999998853338,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6832142863752901,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6832142863752901,0.005,0.6832142863752901,6,0,0,0,0,0,0,0,0,1
452.7000000000344,0.04999999989497447,0.6832142863751671,0,-0.003571428571428572,12.69999988536824,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6832142863751671,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6832142863751671,0.005,0.6832142863751671,6,0,0,0,0,0,0,0,0,1
452.7000000000344,0.04999999989497447,0.6832142863751671,0,-0.003571428571428572,12.69999988536824,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6832142863751671,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6832142863751671,0.005,0.6832142863751671,6,0,0,0,0,0,0,0,0,1
452.8000000000345,0.04999999989497447,0.6828571435180242,0,-0.003571428571428572,12.79999988536827,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6828571435180242,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6828571435180242,0.005,0.6828571435180242,6,0,0,0,0,0,0,0,0,1
452.8000000000345,0.04999999989497447,0.6828571435180242,0,-0.003571428571428572,12.79999988536827,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6828571435180242,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6828571435180242,0.005,0.6828571435180242,6,0,0,0,0,0,0,0,0,1
452.9000000000345,0.04999999989497447,0.6825000006608812,0,-0.003571428571428572,12.89999988536829,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6825000006608812,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6825000006608812,0.005,0.6825000006608812,6,0,0,0,0,0,0,0,0,1
452.9000000000345,0.04999999989497447,0.6825000006608812,0,-0.003571428571428572,12.89999988536829,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6825000006608812,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6825000006608812,0.005,0.6825000006608812,6,0,0,0,0,0,0,0,0,1
453.0000000000345,0.04999999989497447,0.6821428578037383,0,-0.003571428571428572,12.99999988536831,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6821428578037383,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6821428578037383,0.005,0.6821428578037383,6,0,0,0,0,0,0,0,0,1
453.0000000000345,0.04999999989497447,0.6821428578037383,0,-0.003571428571428572,12.99999988536831,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6821428578037383,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6821428578037383,0.005,0.6821428578037383,6,0,0,0,0,0,0,0,0,1
453.1000000000345,0.04999999989497447,0.6817857149465953,0,-0.003571428571428572,13.09999988536833,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6817857149465953,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6817857149465953,0.005,0.6817857149465953,6,0,0,0,0,0,0,0,0,1
453.1000000000345,0.04999999989497447,0.6817857149465953,0,-0.003571428571428572,13.09999988536833,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6817857149465953,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6817857149465953,0.005,0.6817857149465953,6,0,0,0,0,0,0,0,0,1
453.2000000000345,0.04999999989497447,0.6814285720894524,0,-0.003571428571428572,13.19999988536836,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6814285720894524,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6814285720894524,0.005,0.6814285720894524,6,0,0,0,0,0,0,0,0,1
453.2000000000345,0.04999999989497447,0.6814285720894524,0,-0.003571428571428572,13.19999988536836,0,0,0,0,0.005,0,0,0,0,0.005,100,0,440.0000001146662,6,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0.04999999989497447,0.6814285720894524,0,0,0,0,0.04999999989497447,0,0.04999999989497447,0,0.6814285720894524,0.005,0.6814285720894524,6,0,0,0,0,0,0,0,0,1
