"time","plant.h1","plant.h2","der(plant.h1)","der(plant.h2)","controller.activeWaitDuration","controller.waitElapsed","controller_state_id","shutSchedule.combiTimeTable.y[1]","startSchedule.combiTimeTable.y[1]","stopSchedule.combiTimeTable.y[1]","time_s","u1Real.y","u2Real.y","u3Real.y","valve1_open_cmd","valve2_open_cmd","valve3_open_cmd","wait_remaining_s","controller.storedWaitRemaining","controller.tEnter","controller.mode","controller.resumeMode","controller.shutButton","controller.shutPulse","controller.startButton","controller.startPulse","controller.stopButton","controller.stopPulse","controller.valve1","controller.valve2","controller.valve3","controller.controller_state_id","controller.level1","controller.level2","controller.wait_remaining_s","plant.tank1_level_m","plant.tank2_level_m","plant.u1","plant.u2","plant.u3","shutSchedule.realToBoolean.u","startSchedule.realToBoolean.u","stopSchedule.realToBoolean.u","tank1_level_m","tank2_level_m","valve1CmdReal.y","valve2CmdReal.y","valve3CmdReal.y","shutSchedule.realToBoolean.y","shutSchedule.y","startSchedule.realToBoolean.y","startSchedule.y","stopSchedule.realToBoolean.y","stopSchedule.y","u1Real.u","u2Real.u","u3Real.u","valve1CmdReal.u","valve2CmdReal.u","valve3CmdReal.u"
55.8,0.2289999999894971,0.05,0.005,0,0,35.79999999789942,1,0,0,0,55.8,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.2289999999894971,0.05,0,0.2289999999894971,0.05,1,0,0,0,0,0,0.2289999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
56.7,0.2334999999894971,0.05,0.005,0,0,36.69999999789943,1,0,0,0,56.7,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.2334999999894971,0.05,0,0.2334999999894971,0.05,1,0,0,0,0,0,0.2334999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
57.6,0.2379999999894971,0.05,0.005,0,0,37.59999999789943,1,0,0,0,57.6,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.2379999999894971,0.05,0,0.2379999999894971,0.05,1,0,0,0,0,0,0.2379999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
58.5,0.2424999999894971,0.05,0.005,0,0,38.49999999789942,1,0,0,0,58.5,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.2424999999894971,0.05,0,0.2424999999894971,0.05,1,0,0,0,0,0,0.2424999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
59.4,0.2469999999894971,0.05,0.005,0,0,39.39999999789943,1,0,0,0,59.4,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.2469999999894971,0.05,0,0.2469999999894971,0.05,1,0,0,0,0,0,0.2469999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
60.3,0.251499999989497,0.05,0.005,0,0,40.29999999789942,1,0,0,0,60.3,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.251499999989497,0.05,0,0.251499999989497,0.05,1,0,0,0,0,0,0.251499999989497,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
61.2,0.2559999999894971,0.05,0.005,0,0,41.19999999789943,1,0,0,0,61.2,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.2559999999894971,0.05,0,0.2559999999894971,0.05,1,0,0,0,0,0,0.2559999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
62.1,0.260499999989497,0.05,0.005,0,0,42.09999999789943,1,0,0,0,62.1,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.260499999989497,0.05,0,0.260499999989497,0.05,1,0,0,0,0,0,0.260499999989497,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
63,0.2649999999894971,0.05,0.005,0,0,42.99999999789942,1,0,0,0,63,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.2649999999894971,0.05,0,0.2649999999894971,0.05,1,0,0,0,0,0,0.2649999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
63.9,0.269499999989497,0.05,0.005,0,0,43.89999999789943,1,0,0,0,63.9,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.269499999989497,0.05,0,0.269499999989497,0.05,1,0,0,0,0,0,0.269499999989497,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
64.8,0.2739999999894971,0.05,0.005,0,0,44.79999999789942,1,0,0,0,64.8,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.2739999999894971,0.05,0,0.2739999999894971,0.05,1,0,0,0,0,0,0.2739999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
65.7,0.2784999999894971,0.05,0.005,0,0,45.69999999789943,1,0,0,0,65.7,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.2784999999894971,0.05,0,0.2784999999894971,0.05,1,0,0,0,0,0,0.2784999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
66.59999999999999,0.282999999989497,0.05,0.005,0,0,46.59999999789942,1,0,0,0,66.59999999999999,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.282999999989497,0.05,0,0.282999999989497,0.05,1,0,0,0,0,0,0.282999999989497,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
67.5,0.287499999989497,0.05,0.005,0,0,47.49999999789942,1,0,0,0,67.5,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.287499999989497,0.05,0,0.287499999989497,0.05,1,0,0,0,0,0,0.287499999989497,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
68.40000000000001,0.2919999999894971,0.05,0.005,0,0,48.39999999789943,1,0,0,0,68.40000000000001,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.2919999999894971,0.05,0,0.2919999999894971,0.05,1,0,0,0,0,0,0.2919999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
69.3,0.2964999999894971,0.05,0.005,0,0,49.29999999789942,1,0,0,0,69.3,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.2964999999894971,0.05,0,0.2964999999894971,0.05,1,0,0,0,0,0,0.2964999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
70.2,0.3009999999894971,0.05,0.005,0,0,50.19999999789943,1,0,0,0,70.2,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.3009999999894971,0.05,0,0.3009999999894971,0.05,1,0,0,0,0,0,0.3009999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
71.09999999999999,0.3054999999894971,0.05,0.005,0,0,51.09999999789942,1,0,0,0,71.09999999999999,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.3054999999894971,0.05,0,0.3054999999894971,0.05,1,0,0,0,0,0,0.3054999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
72,0.3099999999894971,0.05,0.005,0,0,51.99999999789942,1,0,0,0,72,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.3099999999894971,0.05,0,0.3099999999894971,0.05,1,0,0,0,0,0,0.3099999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
72.90000000000001,0.3144999999894971,0.05,0.005,0,0,52.89999999789943,1,0,0,0,72.90000000000001,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.3144999999894971,0.05,0,0.3144999999894971,0.05,1,0,0,0,0,0,0.3144999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
73.8,0.318999999989497,0.05,0.005,0,0,53.79999999789942,1,0,0,0,73.8,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.318999999989497,0.05,0,0.318999999989497,0.05,1,0,0,0,0,0,0.318999999989497,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
74.7,0.3234999999894971,0.05,0.005,0,0,54.69999999789943,1,0,0,0,74.7,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.3234999999894971,0.05,0,0.3234999999894971,0.05,1,0,0,0,0,0,0.3234999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
75.59999999999999,0.327999999989497,0.05,0.005,0,0,55.59999999789942,1,0,0,0,75.59999999999999,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.327999999989497,0.05,0,0.327999999989497,0.05,1,0,0,0,0,0,0.327999999989497,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
76.5,0.3324999999894971,0.05,0.005,0,0,56.49999999789942,1,0,0,0,76.5,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.3324999999894971,0.05,0,0.3324999999894971,0.05,1,0,0,0,0,0,0.3324999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
77.40000000000001,0.3369999999894971,0.05,0.005,0,0,57.39999999789943,1,0,0,0,77.40000000000001,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.3369999999894971,0.05,0,0.3369999999894971,0.05,1,0,0,0,0,0,0.3369999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
78.3,0.341499999989497,0.05,0.005,0,0,58.29999999789942,1,0,0,0,78.3,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.341499999989497,0.05,0,0.341499999989497,0.05,1,0,0,0,0,0,0.341499999989497,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
79.2,0.345999999989497,0.05,0.005,0,0,59.19999999789943,1,0,0,0,79.2,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.345999999989497,0.05,0,0.345999999989497,0.05,1,0,0,0,0,0,0.345999999989497,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
80.09999999999999,0.350499999989497,0.05,0.005,0,0,60.09999999789942,1,0,0,0,80.09999999999999,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.350499999989497,0.05,0,0.350499999989497,0.05,1,0,0,0,0,0,0.350499999989497,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
81,0.3549999999894971,0.05,0.005,0,0,60.99999999789942,1,0,0,0,81,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.3549999999894971,0.05,0,0.3549999999894971,0.05,1,0,0,0,0,0,0.3549999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
81.90000000000001,0.3594999999894971,0.05,0.005,0,0,61.89999999789943,1,0,0,0,81.90000000000001,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.3594999999894971,0.05,0,0.3594999999894971,0.05,1,0,0,0,0,0,0.3594999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
82.8,0.3639999999894971,0.05,0.005,0,0,62.79999999789942,1,0,0,0,82.8,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.3639999999894971,0.05,0,0.3639999999894971,0.05,1,0,0,0,0,0,0.3639999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
83.7,0.3684999999894971,0.05,0.005,0,0,63.69999999789943,1,0,0,0,83.7,1,0,0,1,0,0,0,0,20.00000000210057,2,1,0,0,0,0,0,0,1,0,0,1,0.3684999999894971,0.05,0,0.3684999999894971,0.05,1,0,0,0,0,0,0.3684999999894971,0.05,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
